
> mana-meeples-singles-market@ count:lines C:\Git_Repos\mana_meeples_singles_market
> tsx scripts/line-lengths.ts --dir ./ --csv --ext ts,tsx

file,lines,chars,longestLine,avgLine
apps\web\src\features\hooks\useShopKeyboardShortcuts.ts,108,3074,95,28.46
apps\web\src\lib\utils\virtualScroll.ts,107,3210,96,30
apps\web\src\lib\utils\groupCards.ts,106,3479,108,32.82
apps\web\src\features\shop\components\Cart\MiniCart.tsx,105,3444,171,32.8
apps\api\tests\integration\auth.routes.test.ts,104,2985,90,28.7
apps\api\tests\integration\error-handling.test.ts,94,2487,90,26.46
apps\web\src\services\http\throttler.ts,89,2322,83,26.09
apps\web\src\features\admin\utils\cardAdapters.ts,88,2993,84,34.01
apps\api\tests\integration\storefront.routes.test.ts,81,2278,99,28.12
apps\api\tests\unit\validation.test.ts,80,2566,76,32.08
apps\web\src\shared\ui\SortDropdown.tsx,80,2503,218,31.29
scripts\debug-admin-login.ts,79,2723,105,34.47
apps\web\src\features\shop\components\ShopHeader.tsx,77,2501,196,32.48
apps\web\src\shared\ui\FilterSidebar.tsx,76,1638,91,21.55
apps\web\src\lib\constants\validation.ts,74,1415,82,19.12
scripts\test-db-connected.ts,69,2026,84,29.36
apps\api\src\lib\env.ts,69,2584,81,37.45
apps\api\src\middleware\securityHeaders.ts,68,2244,90,33
apps\api\src\services\emailService.ts,68,1887,105,27.75
apps\web\tailwind.config.ts,67,1798,73,26.84
apps\web\src\shared\card\CardSkeleton.tsx,59,1798,95,30.47
scripts\test-password.ts,56,1858,97,33.18
apps\web\src\shared\layout\ErrorBoundary.tsx,54,1642,79,30.41
apps\web\src\features\hooks\useVariationSelection.ts,52,1652,84,31.77
apps\web\src\features\shop\components\ShopState.tsx,51,1220,60,23.92
apps\api\src\server.ts,49,1531,91,31.24
apps\web\src\lib\utils\format.ts,45,1523,89,33.84
apps\api\tests\unit\auth.validateCredentials.test.ts,44,1413,90,32.11
apps\web\src\App.tsx,41,1132,76,27.61
apps\api\tests\integration\cards.search.test.ts,41,1411,113,34.41
apps\web\src\features\hooks\useShopViewMode.ts,41,1021,71,24.9
scripts\generate-admin-hash.ts,40,1169,89,29.23
apps\web\vite.config.ts,37,745,60,20.14
apps\web\src\types\models\order.ts,36,701,78,19.47
scripts\imports\list-pokemon-sets.ts,35,852,94,24.34
apps\api\src\utils\strings.ts,33,790,67,23.94
apps\web\src\shared\search\MobileFilterButton.tsx,29,816,76,28.14
apps\web\src\shared\ui\SectionHeader.tsx,28,870,119,31.07
apps\web\src\features\shop\components\index.ts,28,1237,78,44.18
apps\web\src\services\error\types.ts,26,566,79,21.77
apps\web\src\types\api\requests.ts,26,866,80,33.31
apps\web\src\types\ui\cart.ts,25,465,47,18.6
apps\api\vitest.config.ts,24,647,99,26.96
apps\web\src\types\api\responses.ts,24,532,55,22.17
apps\api\src\middleware\error.ts,23,1099,136,47.78
apps\web\src\types\models\inventory.ts,23,574,86,24.96
apps\web\src\types\ui\common.ts,22,396,49,18
apps\api\src\index.ts,20,535,65,26.75
apps\api\src\lib\logger.ts,18,365,49,20.28
apps\web\src\reportWebVitals.ts,15,433,75,28.87
apps\web\src\vite-env.d.ts,15,358,66,23.87
apps\api\src\types\express.d.ts,15,221,25,14.73
apps\web\src\shared\ui\VariationBadge.tsx,15,608,106,40.53
apps\api\src\middleware\requestLog.ts,13,512,108,39.38
apps\web\src\main.tsx,11,256,61,23.27
apps\web\src\features\hooks\index.ts,11,445,62,40.45
apps\api\tests\unit\slugify.test.ts,10,322,62,32.2
apps\web\src\a11y\Announcer.tsx,10,322,84,32.2
apps\web\src\shared\ui\index.ts,9,458,67,50.89
apps\web\src\lib\utils\index.ts,9,727,129,80.78
apps\web\src\types\index.ts,8,249,36,31.13
apps\web\src\shared\layout\index.ts,5,233,67,46.6
apps\web\src\shared\search\index.ts,5,249,69,49.8
apps\web\src\shared\card\index.ts,4,159,57,39.75
apps\api\src\middleware\rateLimit.ts,2,153,110,76.5
apps\web\src\shared\media\index.ts,2,69,61,34.5
apps\web\src\lib\api\index.ts,2,99,58,49.5
TOTAL,148,26397,825739,391,31.28
